기준일자,격자_250,개인법인구분,성별,연령대,업종대분류,카드이용금액계,카드이용건수계
20230101,다사61ab52ab,개인,남,50_59세,편의점,472276,32
20230101,다사45ab44bb,개인,여,60_69세,할인점/슈퍼마켓/양판점,9912930,251
20230101,다사60ab43aa,법인,,,중식,3936787,11
20230101,다사57bb60ba,개인,남,20_29세,게임방/오락실,169261,21
20230101,다사57ab58ba,개인,여,40_49세,일반병원,295272,21
20230101,다사52bb51aa,개인,여,60_69세,한식,299010,16
20230101,다사48bb51bb,법인,,,기타요식,146835,5
20230101,다사58aa40ba,개인,남,60_69세,편의점,168193,16
20230101,다사53ba50ba,개인,남,40_49세,고속버스/철도/여객선,108337734,4864
20230101,다사47aa48ba,개인,남,20_29세,패스트푸드,733109,69
20230101,다사41bb45ba,개인,여,20_29세,편의점,63540,16
20230101,다사46aa45ab,개인,여,20_29세,기타요식,538218,53
20230101,다사65aa46aa,개인,남,40_49세,편의점,437035,27
20230101,다사49aa49bb,개인,여,40_49세,슈퍼마켓일반형,1386178,64
20230101,다사68ab49ab,개인,남,70세이상,한식,435166,21
20230101,다사47bb51bb,개인,남,20_29세,주유소,400455,16
20230101,다사45bb44aa,개인,남,20_29세,게임방/오락실,555838,80
20230101,다사39ab53aa,개인,여,40_49세,편의점,82922,32
20230101,다사59ab58bb,개인,여,70세이상,슈퍼마켓기업형,909845,27
20230101,다사58bb57ab,개인,여,20_29세,편의점,298423,37
20230101,다사51bb50ab,개인,여,20_29세,편의점,297408,75
20230101,다사61aa62ba,개인,여,40_49세,슈퍼마켓일반형,1143660,27
20230101,다사52ba52aa,개인,여,70세이상,슈퍼마켓일반형,201458,27
20230101,다사62aa48bb,법인,,,패스트푸드,480018,37
20230101,다사59bb63ab,개인,여,20_29세,기타요식,2315886,59
20230101,다사42ba44bb,개인,남,60_69세,농수산물,469873,32
20230101,다사48ab50ab,개인,여,20_29세,제과점,370292,43
20230101,다사57ab55aa,개인,여,40_49세,게임방/오락실,58734,16
20230101,다사62aa48bb,개인,여,20_29세,일식,136156,16
20230101,다사41ab51ab,법인,,,전자상거래(다품목취급),266973,5
20230101,다사55bb45ab,개인,여,20세미만,편의점,83029,27
20230101,다사56aa52ab,개인,남,30_39세,약국,292603,21
20230101,다사49bb41bb,개인,여,70세이상,슈퍼마켓일반형,497104,37
20230101,다사54ab53ab,개인,여,40_49세,ZZ_나머지,96110,21
20230101,다사66bb49ba,개인,남,40_49세,편의점,359346,43
20230101,다사48bb44ba,개인,남,60_69세,편의점,143365,21
20230101,다사54bb51bb,개인,여,70세이상,결제대행(PG),1133301,27
20230101,다사68bb50ab,개인,여,40_49세,슈퍼마켓기업형,681422,43
20230101,다사54ba51ab,법인,,,커피전문점,133487,21
20230101,다사64ab44bb,개인,여,40_49세,기타요식,427157,16
20230101,다사70bb51aa,개인,여,40_49세,주유소,598020,21
20230101,다사48bb41aa,개인,여,60_69세,편의점,255226,27
20230101,다사67bb47bb,개인,여,20_29세,게임방/오락실,87033,21
20230101,다사51ba42ab,개인,남,30_39세,기타요식,6598724,310
20230101,다사67aa45bb,개인,남,40_49세,제과점,677578,32
20230101,다사56ba43ab,개인,남,20세미만,택시,1323119,59
20230101,다사61ab61bb,개인,남,20_29세,시계/귀금속,261634,43
20230101,다사42ab50aa,개인,여,30_39세,편의점,501109,59
20230101,다사58aa52bb,개인,남,20_29세,편의점,324639,37
20230101,다사42ba47aa,개인,여,20_29세,편의점,257362,37
20230101,다사63bb44ba,개인,남,50_59세,편의점,136477,37
20230101,다사49ab56aa,법인,,,한식,42716,5
20230101,다사51bb47ba,개인,남,40_49세,편의점,235791,43
20230101,다사67ba43bb,개인,남,40_49세,편의점,183945,32
20230101,다사49ba43aa,개인,여,20_29세,일식,557440,32
20230101,다사64ab49ab,법인,,,편의점,41648,5
20230101,다사62ab56ba,개인,여,40_49세,편의점,160504,27
20230101,다사68bb49bb,개인,남,20_29세,기타요식,289933,43
20230101,다사46ba46ab,개인,남,70세이상,쇼핑몰,25147277,411
20230101,다사57aa52ba,개인,여,50_59세,약국,262168,27
20230101,다사59bb64ab,개인,여,30_39세,커피전문점,203994,37
20230101,다사54ba42ab,법인,,,편의점,85431,5
20230101,다사49aa55ba,개인,여,50_59세,슈퍼마켓일반형,1111837,64
20230101,다사61ab62aa,개인,남,20_29세,기타요식,4015277,107
20230101,다사41bb47aa,개인,남,70세이상,한식,355074,27
20230101,다사63aa45bb,개인,여,40_49세,양식,831622,75
20230101,다사59ab63aa,개인,남,30_39세,슈퍼마켓일반형,82762,16
20230101,다사56aa54ba,개인,남,30_39세,편의점,759005,139
20230101,다사59ab63ab,개인,남,40_49세,슈퍼마켓일반형,407134,27
20230101,다사39ab51ba,개인,남,30_39세,편의점,491765,59
20230101,다사63ab53ab,개인,남,50_59세,싸우나/목욕탕,250955,27
20230101,다사60bb53ab,개인,남,50_59세,슈퍼마켓일반형,798731,85
20230101,다사51aa54aa,개인,여,30_39세,ZZ_나머지,432497,21
20230101,다사57ba44bb,개인,여,20_29세,슈퍼마켓기업형,366074,16
20230101,다사60aa64bb,개인,남,40_49세,슈퍼마켓기업형,3828129,144
20230101,다사49aa41ab,개인,여,50_59세,편의점,178872,16
20230101,다사57ab55aa,개인,여,50_59세,한식,448515,21
20230101,다사56ab50bb,개인,남,30_39세,면세점,9406695,32
20230101,다사52ba41bb,개인,여,30_39세,기타요식,288331,43
20230101,다사62bb51bb,개인,여,30_39세,화장품,673307,43
20230101,다사48ba57bb,개인,남,30_39세,양식,1513204,37
20230101,다사48ab54ba,개인,남,40_49세,편의점,719760,53
20230101,다사48aa57ab,개인,남,30_39세,편의점,309102,48
20230101,다사65bb44bb,개인,여,20_29세,편의점,78223,16
20230101,다사58aa41aa,개인,여,30_39세,편의점,895695,48
20230101,다사47ba45bb,개인,남,70세이상,주유소,1548445,27
20230101,다사46bb47ba,개인,남,50_59세,기타요식,931737,21
20230101,다사59bb42aa,개인,여,30_39세,제과점,68345,16
20230101,다사47aa39ab,개인,남,20_29세,기타요식,3182855,69
20230101,다사51aa43aa,법인,,,기타요식,170863,11
20230101,다사56aa53bb,개인,남,20_29세,주차장,184212,16
20230101,다사43aa47ab,개인,남,50_59세,편의점,202366,48
20230101,다사40ba44ba,개인,여,30_39세,편의점,92106,21
20230101,다사55aa43aa,개인,남,30_39세,슈퍼마켓일반형,2784515,144
20230101,다사49aa53ab,개인,여,40_49세,기타요식,706945,53
20230101,다사58bb43ba,개인,남,40_49세,편의점,97178,16
20230101,다사53aa50ba,개인,여,30_39세,한식,811599,21
20230101,다사40ba44ba,개인,여,40_49세,편의점,99261,16
20230101,다사57ab51bb,개인,여,60_69세,한식,1425637,27
20230101,다사45bb44aa,개인,여,30_39세,제과점,488294,32
20230101,다사60bb53ab,개인,여,60_69세,슈퍼마켓일반형,784047,53
20230101,다사54ab52bb,개인,여,50_59세,수제용품점,571323,16
20230101,다사55ab48ab,개인,여,40_49세,편의점,230131,43
20230101,다사48ba58bb,개인,남,40_49세,기타요식,232267,48
20230101,다사46ab42aa,개인,여,60_69세,슈퍼마켓일반형,1581763,53
